epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,597.607,1.48014,2.1158,1.052,0.00573,0.04161,0.00396,0.00119,2.37146,3.55719,2.05607,0.0705556,0.0032716,0.0032716
2,1130.92,1.42552,1.52858,1.0368,0.54808,0.0987,0.1508,0.09762,2.13425,5.81128,1.59212,0.0404902,0.00653955,0.00653955
3,1654.17,1.42655,1.43088,1.03702,0.28063,0.15235,0.10134,0.03481,1.94927,5.38465,1.37506,0.0103588,0.00974149,0.00974149
4,2177.92,1.37345,1.35785,1.0166,0.4952,0.07476,0.06552,0.04211,1.55972,10.2153,1.18307,0.009703,0.009703,0.009703
5,2746.47,1.30061,1.27829,0.99516,0.19111,0.22656,0.17461,0.11077,1.3638,1.83864,1.06661,0.009604,0.009604,0.009604
6,3264.28,1.24759,1.2147,0.98142,0.25202,0.28794,0.21791,0.14079,1.26517,1.54797,1.01134,0.009505,0.009505,0.009505
7,3779.59,1.22486,1.20136,0.97977,0.40701,0.20742,0.15616,0.10749,1.43515,1.78934,1.11403,0.009406,0.009406,0.009406
8,4297.85,1.22753,1.19693,0.98029,0.54647,0.22008,0.26937,0.19201,1.1563,1.53816,0.98479,0.009307,0.009307,0.009307
9,4815.6,1.20499,1.15402,0.9642,0.52302,0.22549,0.24462,0.16743,1.19022,1.39236,1.00757,0.009208,0.009208,0.009208
10,5332.46,1.18324,1.12382,0.96345,0.61242,0.24599,0.2616,0.18601,1.27086,1.3858,1.01651,0.009109,0.009109,0.009109
11,5848.53,1.14862,1.09786,0.95188,0.67377,0.38841,0.36409,0.21539,1.18936,1.35128,0.99166,0.00901,0.00901,0.00901
12,6370.03,1.1494,1.08964,0.94636,0.48254,0.3884,0.31659,0.2258,1.11925,1.25659,0.96572,0.008911,0.008911,0.008911
13,6891.62,1.12777,1.07095,0.94634,0.43864,0.32649,0.35944,0.25074,1.10218,1.13472,0.97188,0.008812,0.008812,0.008812
14,7410.11,1.12562,1.07817,0.94543,0.59607,0.37428,0.35539,0.2325,1.10335,1.17381,0.96298,0.008713,0.008713,0.008713
15,7926.64,1.12589,1.05915,0.93468,0.31339,0.38203,0.30766,0.21393,1.11531,1.15409,0.95357,0.008614,0.008614,0.008614
16,8444.59,1.10728,1.04876,0.9356,0.47037,0.23689,0.23162,0.15348,1.19808,1.27451,1.00475,0.008515,0.008515,0.008515
17,8960.96,1.1003,1.03208,0.93655,0.67993,0.35755,0.35632,0.2365,1.0353,1.01648,0.93717,0.008416,0.008416,0.008416
18,9475.93,1.08623,1.00294,0.93246,0.61332,0.407,0.42492,0.27976,1.11842,1.06394,0.96711,0.008317,0.008317,0.008317
19,9994.58,1.06894,1.00954,0.92559,0.62297,0.27337,0.34077,0.22659,1.18024,1.10011,0.99758,0.008218,0.008218,0.008218
20,10515.2,1.08693,1.02214,0.9283,0.50515,0.26786,0.26706,0.17866,1.20681,1.29953,0.99668,0.008119,0.008119,0.008119
21,11032.8,1.05629,0.98342,0.92618,0.42805,0.40018,0.34617,0.23185,1.04023,1.0728,0.93505,0.00802,0.00802,0.00802
22,11553.1,1.07322,0.97444,0.92604,0.7145,0.42596,0.47229,0.31528,0.99312,0.8795,0.93215,0.007921,0.007921,0.007921
23,12069.8,1.04057,0.95408,0.92133,0.70998,0.39337,0.44432,0.28719,0.99461,1.02613,0.92582,0.007822,0.007822,0.007822
24,12586.7,1.044,0.96955,0.91646,0.3999,0.44487,0.41253,0.2738,1.0215,1.02725,0.9373,0.007723,0.007723,0.007723
25,13102.8,1.03494,0.9638,0.91522,0.76504,0.34606,0.4468,0.317,0.9705,0.93628,0.92387,0.007624,0.007624,0.007624
26,13621.5,1.02833,0.92874,0.90856,0.40389,0.55207,0.42058,0.27503,0.97327,0.91224,0.91519,0.007525,0.007525,0.007525
27,14139,1.0216,0.90936,0.90541,0.71121,0.43286,0.46241,0.31584,0.94045,0.87915,0.90707,0.007426,0.007426,0.007426
28,14659.4,1.01037,0.93006,0.91077,0.384,0.4353,0.40659,0.28516,0.95462,0.94483,0.91307,0.007327,0.007327,0.007327
