epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.64,1.82583,2.66965,1.65747,0.0227,0.14265,0.01962,0.00863,2.19116,3.33449,3.24372,0.0757,0.0027,0.0027
2,649.058,1.86729,2.39902,1.7407,0.00882,0.00306,0.00068,0.00035,3.67111,5.91652,8.29552,0.0504455,0.00544555,0.00544555
3,1002.31,1.83544,2.3145,1.7321,0.00422,0.03121,0.00367,0.00157,2.74394,4.54811,2.86013,0.0251357,0.00813566,0.00813566
4,1357.19,1.75373,2.27085,1.70502,0.00936,0.04497,0.00542,0.00192,2.05868,40.5365,2.51722,0.009703,0.009703,0.009703
5,1711.44,1.74081,2.23109,1.66823,0.07067,0.12547,0.04749,0.02222,1.86815,11.3722,2.02274,0.009604,0.009604,0.009604
6,2072.23,1.64784,2.16096,1.62433,0.15523,0.13555,0.0717,0.03184,1.81454,4.98339,1.7789,0.009505,0.009505,0.009505
7,2427.78,1.66921,2.1297,1.60714,0.56028,0.20354,0.16443,0.08223,1.92341,3.24555,1.74633,0.009406,0.009406,0.009406
8,2783.22,1.62496,2.12403,1.59231,0.56683,0.20049,0.17783,0.09325,1.6506,2.96021,1.58671,0.009307,0.009307,0.009307
9,3131.81,1.61165,2.06099,1.57552,0.25614,0.26197,0.17625,0.09294,1.70771,3.68955,1.57704,0.009208,0.009208,0.009208
10,3468.16,1.60084,2.05778,1.56774,0.19468,0.32009,0.15452,0.08085,1.69224,3.04333,1.49871,0.009109,0.009109,0.009109
11,3765.14,1.5549,1.99672,1.52506,0.62638,0.23565,0.23245,0.12644,1.61414,2.54157,1.50932,0.00901,0.00901,0.00901
12,4063.15,1.54873,1.99751,1.54314,0.3192,0.38285,0.25415,0.14066,1.52293,2.41607,1.43003,0.008911,0.008911,0.008911
13,4362.09,1.50901,1.92259,1.50285,0.33402,0.23386,0.22118,0.13217,1.53765,2.20458,1.47469,0.008812,0.008812,0.008812
14,4660.02,1.53166,1.9651,1.54373,0.60016,0.23565,0.1936,0.11653,1.5568,2.2686,1.49502,0.008713,0.008713,0.008713
15,4954.28,1.53629,1.95358,1.53753,0.72449,0.24114,0.27066,0.15848,1.44843,1.86943,1.37498,0.008614,0.008614,0.008614
16,5256.92,1.50968,1.94704,1.51374,0.28281,0.33136,0.25573,0.16569,1.41319,1.74629,1.37231,0.008515,0.008515,0.008515
17,5566.65,1.50499,1.92508,1.52612,0.28519,0.46568,0.29851,0.18769,1.41013,1.82979,1.36988,0.008416,0.008416,0.008416
18,5876.93,1.4807,1.93654,1.51396,0.2596,0.32979,0.27164,0.16766,1.40429,1.78528,1.35166,0.008317,0.008317,0.008317
19,6202.72,1.47282,1.91629,1.52243,0.44913,0.42056,0.36569,0.2299,1.39599,1.5834,1.3578,0.008218,0.008218,0.008218
20,6523.69,1.48329,1.95333,1.53633,0.35724,0.31846,0.25713,0.14382,1.46732,1.91632,1.43742,0.008119,0.008119,0.008119
21,6836.1,1.46219,1.89196,1.48777,0.6981,0.26782,0.29063,0.18352,1.33811,1.81407,1.32786,0.00802,0.00802,0.00802
22,7149.7,1.45492,1.85348,1.46886,0.47136,0.4699,0.36054,0.20089,1.30248,1.59883,1.2971,0.007921,0.007921,0.007921
23,7464.95,1.46567,1.84315,1.46792,0.28333,0.47873,0.33978,0.22417,1.30105,1.65972,1.28342,0.007822,0.007822,0.007822
24,7784.47,1.43584,1.80047,1.44635,0.37937,0.42423,0.3505,0.23313,1.31943,1.52256,1.33312,0.007723,0.007723,0.007723
25,8443,1.42705,1.82699,1.46056,0.43324,0.3477,0.34686,0.2377,1.24587,1.65847,1.27565,0.007624,0.007624,0.007624
26,8759.76,1.39987,1.83729,1.4591,0.38355,0.46093,0.36461,0.23259,1.23845,1.54564,1.27488,0.007525,0.007525,0.007525
27,9072.36,1.41412,1.81188,1.43445,0.28905,0.40294,0.33106,0.22064,1.25397,1.72009,1.29128,0.007426,0.007426,0.007426
28,9385.67,1.40573,1.74451,1.40632,0.6508,0.23529,0.27986,0.18403,1.30881,1.82257,1.37097,0.007327,0.007327,0.007327
29,9699.26,1.40219,1.77417,1.42474,0.29804,0.46543,0.35765,0.23819,1.23686,1.51437,1.30773,0.007228,0.007228,0.007228
30,10007.9,1.38875,1.74281,1.40897,0.73229,0.2782,0.40849,0.27062,1.20758,1.6162,1.23388,0.007129,0.007129,0.007129
31,10318.5,1.36818,1.74395,1.40512,0.28411,0.37874,0.34916,0.23204,1.23089,1.63754,1.24982,0.00703,0.00703,0.00703
